,date,momentum,value,portfolio
0,2016-01-04,-1.69,-1.53,-1.651745
1,2016-01-05,0.38,0.1,0.408161
2,2016-01-06,1.27,-1.22,0.325555
3,2016-01-07,0.21,-2.38,-0.698259
4,2016-01-08,-0.2,-0.91,-0.959352
5,2016-01-11,1.24,0.28,0.604743
6,2016-01-12,0.94,0.77,0.586025
7,2016-01-13,-0.52,-2.83,-2.915752
8,2016-01-14,-0.36,1.37,0.775393
9,2016-01-15,0.24,-2.02,-1.905816
10,2016-01-19,0.96,0.0,0.681588
11,2016-01-20,0.49,-0.87,-0.288088
12,2016-01-21,-1.84,0.76,-0.005624
13,2016-01-22,-0.41,2.0,2.065931
14,2016-01-25,1.35,-1.29,-0.540136
15,2016-01-26,-1.72,1.38,0.722887
16,2016-01-27,-0.55,-1.55,-1.736172
17,2016-01-28,0.05,0.56,2.082726
18,2016-01-29,-0.84,2.06,1.686897
19,2016-02-01,0.55,0.26,1.034347
20,2016-02-02,1.2,-1.84,-1.068786
21,2016-02-03,-2.65,0.67,-0.923854
22,2016-02-04,-2.15,0.37,-1.40187
23,2016-02-05,-0.76,-1.96,-2.477399
24,2016-02-08,0.39,-1.24,-2.117614
25,2016-02-09,1.56,0.08,0.357256
26,2016-02-10,0.8,-0.14,0.424087
27,2016-02-11,0.42,-1.03,-0.147052
28,2016-02-12,-1.16,1.85,1.541827
29,2016-02-16,-0.91,1.85,1.271524
30,2016-02-17,-1.82,1.7,1.463904
31,2016-02-18,0.08,-0.45,-0.651295
32,2016-02-19,1.1,-0.09,0.234736
33,2016-02-22,-1.12,1.41,1.523066
34,2016-02-23,1.07,-0.91,-0.380484
35,2016-02-24,-0.08,0.62,0.868877
36,2016-02-25,0.36,1.06,1.469013
37,2016-02-26,-1.61,-0.22,-0.521808
38,2016-02-29,-0.44,-0.64,-0.86121
39,2016-03-01,-0.56,2.3,2.229444
40,2016-03-02,-1.33,0.03,-0.126101
41,2016-03-03,-1.62,0.38,0.300575
42,2016-03-04,-0.9,0.4,0.137284
43,2016-03-07,-1.5,0.16,-0.922993
44,2016-03-08,2.86,-0.97,-0.562817
45,2016-03-09,-0.2,0.39,0.346096
46,2016-03-10,0.38,-0.01,0.436324
47,2016-03-11,-1.72,1.52,2.136234
48,2016-03-14,0.1,-0.04,-0.272004
49,2016-03-15,1.41,-0.2,-0.139898
50,2016-03-16,-0.78,0.79,1.086673
51,2016-03-17,-1.02,0.62,-0.068349
52,2016-03-18,-0.7,0.3,0.43476
53,2016-03-21,-0.13,0.2,0.169146
54,2016-03-22,0.1,-0.08,0.231946
55,2016-03-23,2.15,-0.7,0.053842
56,2016-03-24,-0.03,0.03,-0.363879
57,2016-03-28,0.43,0.07,0.208706
58,2016-03-29,0.19,1.08,0.907537
59,2016-03-30,-0.19,0.59,0.025139
60,2016-03-31,-0.55,-0.19,-0.424867
61,2016-04-01,0.89,0.57,1.418999
62,2016-04-04,0.23,-0.32,-0.721981
63,2016-04-05,0.1,-0.66,-0.360052
64,2016-04-06,-0.88,1.0,1.239408
65,2016-04-07,0.67,-1.19,-0.608988
66,2016-04-08,-0.63,0.33,-0.040264
67,2016-04-11,-0.26,-0.31,-0.864334
68,2016-04-12,-1.24,0.96,0.748602
69,2016-04-13,-1.29,0.88,-0.096118
70,2016-04-14,-0.08,-0.1,-0.20797
71,2016-04-15,0.72,-0.05,0.065503
72,2016-04-18,-0.07,0.4,0.492412
73,2016-04-19,-0.92,-0.04,-0.726002
74,2016-04-20,-1.14,0.05,-0.441706
75,2016-04-21,-0.75,-0.61,-0.441698
76,2016-04-22,-1.18,0.11,-0.224101
77,2016-04-25,1.2,-0.16,0.685562
78,2016-04-26,-0.7,0.16,0.239612
79,2016-04-27,0.0,-0.18,-0.048829
80,2016-04-28,0.51,-1.06,0.320485
81,2016-04-29,0.87,-0.47,0.274761
82,2016-05-02,0.98,0.86,1.061031
83,2016-05-03,1.33,-0.79,-0.440007
84,2016-05-04,1.22,-0.71,-0.048797
85,2016-05-05,0.28,-0.19,-0.34819
86,2016-05-06,0.57,0.45,0.678662
87,2016-05-09,0.9,0.22,0.412818
88,2016-05-10,-0.62,1.19,1.074781
89,2016-05-11,0.42,-1.09,-1.313255
90,2016-05-12,1.13,-0.11,-0.065481
91,2016-05-13,0.37,-0.87,-0.477478
92,2016-05-16,-0.76,1.06,0.342162
93,2016-05-17,-1.39,-0.94,-1.336729
94,2016-05-18,-0.28,-0.38,0.823797
95,2016-05-19,0.37,-0.17,-0.10113
96,2016-05-20,-0.85,0.59,0.340398
97,2016-05-23,-0.32,-0.05,-0.522926
98,2016-05-24,-0.22,1.33,1.368379
99,2016-05-25,-1.36,0.69,0.425019
100,2016-05-26,0.53,0.16,0.11699
101,2016-05-27,-0.45,0.35,0.7831
102,2016-05-31,-0.35,-0.07,-0.567099
103,2016-06-01,0.07,0.1,0.661228
104,2016-06-02,-0.41,0.38,0.25399
105,2016-06-03,1.11,-0.08,-0.392355
106,2016-06-06,-1.21,0.43,-0.076361
107,2016-06-07,-0.08,0.24,-0.260461
108,2016-06-08,0.58,0.23,0.168708
109,2016-06-09,1.18,-0.14,0.302104
110,2016-06-10,1.42,-0.88,-0.775068
111,2016-06-13,0.35,-0.95,-0.77237
112,2016-06-14,0.74,-0.15,0.279407
113,2016-06-15,-0.24,-0.13,-0.025819
114,2016-06-16,0.44,0.31,0.239704
115,2016-06-17,-0.69,-0.32,-0.642468
116,2016-06-20,-0.24,0.7,0.45524
117,2016-06-21,0.34,0.13,0.07492
118,2016-06-22,0.04,-0.16,-0.069191
119,2016-06-23,-0.9,1.17,0.766001
120,2016-06-24,2.2,-3.3,-1.410014
121,2016-06-27,2.38,-1.78,-0.616767
122,2016-06-28,-0.95,1.6,1.470422
123,2016-06-29,-0.99,1.63,1.325259
124,2016-06-30,0.5,1.28,0.951538
125,2016-07-01,-0.63,0.38,0.266663
126,2016-07-05,1.71,-0.6,0.390855
127,2016-07-06,-0.09,0.64,0.235546
128,2016-07-07,-0.86,0.18,-0.351293
129,2016-07-08,-0.67,1.47,1.759538
130,2016-07-11,-0.28,0.42,0.04932
131,2016-07-12,-1.36,0.56,-0.420204
132,2016-07-13,0.66,-0.06,0.077878
133,2016-07-14,-0.6,0.58,0.628636
134,2016-07-15,-0.06,-0.12,-0.351409
135,2016-07-18,-0.55,0.26,0.288319
136,2016-07-19,0.4,-0.05,-0.545339
137,2016-07-20,-1.05,0.44,0.436646
138,2016-07-21,-0.12,-0.47,-0.089553
139,2016-07-22,0.09,0.37,0.572958
140,2016-07-25,-0.3,-0.08,0.015909
141,2016-07-26,-0.38,0.0,-0.142738
142,2016-07-27,-0.41,0.13,-0.375339
143,2016-07-28,0.24,0.27,0.595696
144,2016-07-29,0.34,0.04,0.006897
145,2016-08-01,-0.08,0.22,-0.044225
146,2016-08-02,0.65,-0.91,-0.734665
147,2016-08-03,-1.58,0.21,0.615533
148,2016-08-04,0.42,0.16,0.377684
149,2016-08-05,-1.42,0.8,0.477393
150,2016-08-08,-0.18,-0.1,-0.429403
151,2016-08-09,0.31,0.02,0.849141
152,2016-08-10,0.69,-0.06,0.22301
153,2016-08-11,-0.49,0.54,1.037856
154,2016-08-12,-0.13,-0.06,0.205822
155,2016-08-15,-0.96,0.41,0.166765
156,2016-08-16,-0.26,-0.57,-0.666742
157,2016-08-17,0.38,0.11,0.005306
158,2016-08-18,0.05,0.14,0.151844
159,2016-08-19,-0.39,-0.02,-0.418359
160,2016-08-22,0.17,0.06,-0.058468
161,2016-08-23,-0.51,0.22,0.315044
162,2016-08-24,0.04,-0.51,-0.766267
163,2016-08-25,0.47,-0.17,0.053975
164,2016-08-26,-0.3,-0.24,-0.813836
165,2016-08-29,0.09,0.33,0.452174
166,2016-08-30,-0.74,-0.33,-0.454203
167,2016-08-31,0.07,-0.12,0.027271
168,2016-09-01,0.6,0.21,0.521037
169,2016-09-02,0.27,0.42,0.736947
170,2016-09-06,0.4,0.25,0.398461
171,2016-09-07,-0.54,0.0,0.073066
172,2016-09-08,-0.31,-0.63,-0.826743
173,2016-09-09,-0.47,-2.54,-2.569392
174,2016-09-12,0.0,1.54,1.591581
175,2016-09-13,-0.35,-1.11,-1.511059
176,2016-09-14,0.28,0.27,0.059253
177,2016-09-15,0.05,1.18,0.529632
178,2016-09-16,0.06,-0.25,-0.080251
179,2016-09-19,0.06,-0.17,0.171052
180,2016-09-20,0.1,0.15,-0.156971
181,2016-09-21,0.68,0.9,1.322841
182,2016-09-22,-0.28,0.68,0.683723
183,2016-09-23,-0.23,-0.52,-0.517761
184,2016-09-26,0.31,-0.8,-0.253433
185,2016-09-27,0.18,0.75,1.126139
186,2016-09-28,-0.25,0.23,-0.201817
187,2016-09-29,0.12,-0.8,-1.203312
188,2016-09-30,-0.32,0.89,0.365065
189,2016-10-03,-0.15,-0.23,-0.065164
190,2016-10-04,-0.83,-0.52,-0.488989
191,2016-10-05,-0.62,0.32,0.214595
192,2016-10-06,0.25,-0.03,0.356562
193,2016-10-07,0.13,-0.56,-0.958423
194,2016-10-10,-0.1,0.37,0.71621
195,2016-10-11,-0.13,-1.09,-1.304423
196,2016-10-12,0.49,0.22,-0.052082
197,2016-10-13,0.41,-0.11,1.073565
198,2016-10-14,-0.1,0.01,0.038309
199,2016-10-17,0.36,-0.31,-0.702793
200,2016-10-18,-0.1,0.35,1.230125
201,2016-10-19,-0.21,0.01,0.09114
202,2016-10-20,-0.45,-0.35,-0.26863
203,2016-10-21,-0.18,-0.08,1.032748
204,2016-10-24,0.15,0.71,0.70431
205,2016-10-25,0.34,-0.47,-0.687716
206,2016-10-26,-0.55,-0.31,-0.948485
207,2016-10-27,-0.31,-0.3,-1.571368
208,2016-10-28,0.35,-0.58,1.440664
209,2016-10-31,0.52,-0.03,0.457337
210,2016-11-01,-0.03,-0.77,-0.943618
211,2016-11-02,0.04,-0.36,-0.076099
212,2016-11-03,0.71,-0.56,-1.351953
213,2016-11-04,-0.39,-0.24,-0.102994
214,2016-11-07,-0.43,2.13,2.252661
215,2016-11-08,0.6,0.52,0.897534
216,2016-11-09,-1.83,1.01,-0.200223
217,2016-11-10,-2.51,-0.1,-0.757615
218,2016-11-11,-0.83,0.12,-0.17215
219,2016-11-14,-1.23,-0.25,-0.456621
220,2016-11-15,1.09,0.59,0.955581
221,2016-11-16,0.46,0.27,0.396522
222,2016-11-17,-0.42,0.5,0.530548
223,2016-11-18,0.14,-0.15,-0.51606
224,2016-11-21,0.57,0.84,0.553651
225,2016-11-22,0.13,0.59,0.987632
226,2016-11-23,-0.37,0.11,0.157547
227,2016-11-25,-0.13,0.43,0.378486
228,2016-11-28,0.51,-0.46,-0.642998
229,2016-11-29,0.08,0.16,0.459064
230,2016-11-30,0.45,-0.9,-1.28482
231,2016-12-01,-0.4,-0.47,-1.188169
232,2016-12-02,0.58,0.05,3.898689
233,2016-12-05,-0.21,0.35,0.418701
234,2016-12-06,-0.47,0.35,0.329914
235,2016-12-07,0.11,1.48,1.19
236,2016-12-08,-0.36,0.07,-0.182593
237,2016-12-09,-0.82,0.54,0.293034
238,2016-12-12,0.17,-0.24,0.027428
239,2016-12-13,-0.08,0.71,0.801329
240,2016-12-14,-0.25,-0.74,-0.40326
241,2016-12-15,0.05,0.29,0.609126
242,2016-12-16,-0.65,-0.2,0.22139
243,2016-12-19,0.03,0.3,-0.136865
244,2016-12-20,0.31,0.45,-0.247034
245,2016-12-21,0.24,-0.26,-0.020228
246,2016-12-22,0.17,-0.37,-0.500213
247,2016-12-23,-0.35,0.07,0.438153
248,2016-12-27,0.14,0.27,0.430411
249,2016-12-28,0.08,-0.69,-0.903525
250,2016-12-29,0.02,0.0,0.235954
251,2016-12-30,-0.21,-0.65,-0.805551
